asv_code	domain	supergroup	division	subdivision	class	order	family	genus	species	trophic_mode
ZOTU-V7_1	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Eudiaptomus	Eudiaptomus_sp.	heterotrophs
ZOTU-V7_10	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_100	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Synurales	Synuraceae	Mallomonas	Mallomonas_heterospina	phototrophs
ZOTU-V7_1000	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Pseudodendromonadales_XX	Pseudodendromonadales_XX_sp.	heterotrophs
ZOTU-V7_10000	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Tetramitia_V	Vahlkampfiidae_V	Tetramitus	Tetramitus_thorntoni	heterotrophs
ZOTU-V7_10001	Eukaryota	Obazoa	Breviatea	Breviatea_X	Breviatea_XX	Breviatea_XXX	Breviata-lineage	Breviata	Breviata_anathema	heterotrophs
ZOTU-V7_10003	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10004	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10008	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10009	Eukaryota	TSAR	Stramenopiles	Gyrista	Phaeothamniophyceae	Phaeothamniales	Phaeothamniales_X	Stichogloea	Unassigned	phototrophs
ZOTU-V7_1001	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10011	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Unassigned	Unassigned	phototrophs
ZOTU-V7_10013	Eukaryota	Excavata	Discoba	Euglenozoa	Kinetoplastea	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10015	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Borokales	Borokaceae	Borokaceae_X	Borokaceae_X_sp.	heterotrophs
ZOTU-V7_10016	Eukaryota	Archaeplastida	Streptophyta	Streptophyta_X	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Unassigned	Unassigned	phototrophs
ZOTU-V7_10017	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10018	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10019	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_1002	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_10021	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Imbricatea	Euglyphida	Paulinellidae	Paulinella	Paulinella_chromatophora	heterotrophs
ZOTU-V7_10022	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Unassigned	Unassigned	phototrophs
ZOTU-V7_10023	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10024	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	Navicula_cryptocephala	phototrophs
ZOTU-V7_10025	Eukaryota	Amoebozoa	Tubulinea	Tubulinea_X	Elardia	Euamoebida	Nolandellidae	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10026	Eukaryota	Obazoa	Opisthokonta	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10028	Eukaryota	TSAR	Rhizaria	Cercozoa	Novel-clade-10-12	Novel-clade-10	Novel-clade-10_X	Novel-clade-10_XX	Novel-clade-10_XX_sp.	heterotrophs
ZOTU-V7_1003	Eukaryota	TSAR	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Monocystis	Monocystis_sp.	parasites
ZOTU-V7_10031	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Crustacea	Branchiopoda	Ceriodaphnia	Ceriodaphnia_dubia	heterotrophs
ZOTU-V7_10032	Eukaryota	TSAR	Alveolata	Ciliophora	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10033	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chrysophyceae_Clade-EC2H	Chrysophyceae_Clade-EC2H_X	Chrysophyceae_Clade-EC2H_XX	Chrysophyceae_Clade-EC2H_XX_sp.	phototrophs
ZOTU-V7_10034	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_10037	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10038	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chromulinales	Chromulinales_X	Chromulinales_XX	Chromulinales_XX_sp.	phototrophs
ZOTU-V7_10039	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10041	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10042	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Ochromonadales	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10044	Eukaryota	TSAR	Stramenopiles	Gyrista	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10048	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.	phototrophs
ZOTU-V7_10049	Eukaryota	Excavata	Discoba	Euglenozoa	Kinetoplastea	Kinetoplastea_X	Kinetoplastea_XX	Kinetoplastea_XX_MET8	Kinetoplastea_XX_MET8_sp.	heterotrophs
ZOTU-V7_1005	Eukaryota	Obazoa	Opisthokonta	Fungi	Opisthosporidia	Microsporida	Microsporida_X	Unassigned	Unassigned	parasites
ZOTU-V7_10051	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Naviculales	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10053	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10054	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10055	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	heterotrophs
ZOTU-V7_10059	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_1006	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Crustacea	Branchiopoda	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10060	Eukaryota	Obazoa	Opisthokonta	Fungi	Opisthosporidia	Microsporida	Microsporida_X	Helmichia	Helmichia_lacustris	parasites
ZOTU-V7_10061	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Heterolobosea_X	Creneidae	Creneis	Creneis_carolina	heterotrophs
ZOTU-V7_10062	Eukaryota	TSAR	Rhizaria	Cercozoa	Endomyxa-Phytomyxea	Plasmodiophorida	Polymyxa-lineage	Unassigned	Unassigned	parasites
ZOTU-V7_10063	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Unassigned	Unassigned	parasites
ZOTU-V7_10066	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Bicoecales	Bicoecaceae	Bicoecaceae_X	Bicoecaceae_X_sp.	heterotrophs
ZOTU-V7_10067	Eukaryota	Amoebozoa	Evosea	Evosea_X	Variosea	Variosea_X	Phalansteriidae	Phalansterium	Phalansterium_sp.	heterotrophs
ZOTU-V7_10068	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_10069	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10070	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Allapsidae_X	Allapsidae_X_sp.	heterotrophs
ZOTU-V7_10073	Eukaryota	Excavata	Discoba	Euglenozoa	Euglenida	Aphagea	Distigmidae	Distigma	Distigma_elegans	heterotrophs
ZOTU-V7_10074	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10075	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Opalozoa_X	MAST-12	MAST-12C	MAST-12C_sp.	heterotrophs
ZOTU-V7_10077	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.	parasites
ZOTU-V7_10079	Eukaryota	Amoebozoa	Discosea	Discosea_X	Centramoebia	Himatismenida	Cochliopodiidae	Cochliopodium	Cochliopodium_plurinucleolum	heterotrophs
ZOTU-V7_1008	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.	heterotrophs
ZOTU-V7_10081	Eukaryota	TSAR	Rhizaria	Cercozoa	Endomyxa	Vampyrellida	Penardia-lineage	Penardia-lineage_X	Penardia-lineage_X_sp.	heterotrophs
ZOTU-V7_10082	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10083	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.	parasites
ZOTU-V7_10085	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	heterotrophs
ZOTU-V7_10087	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Litostomatea_X	Litostomatea_XX	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10088	Eukaryota	TSAR	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.	parasites
ZOTU-V7_10089	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_1009	Eukaryota	TSAR	Alveolata	Ciliophora	CONTH_7	CONTH_7_X	CONTH_7_XX	CONTH_7_XXX	CONTH_7_XXX_sp.	heterotrophs
ZOTU-V7_10090	Eukaryota	TSAR	Stramenopiles	Gyrista	Peronosporomycetes	Peronosporomycetes_X	Peronosporales	Unassigned	Unassigned	parasites
ZOTU-V7_10091	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10093	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10098	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiomycota_X	Chytridiomycota_XX	Chytridiomycota_XXX	Chytridiomycota_XXX_sp.	saprotrophs/parasites
ZOTU-V7_10099	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Unassigned	Unassigned	parasites
ZOTU-V7_101	Eukaryota	TSAR	Alveolata	Chrompodellids	Colpodellidea	Colpodellida	Alphamonaceae	Alphamonas	Alphamonas_edax	heterotrophs
ZOTU-V7_10102	Eukaryota	TSAR	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.	parasites
ZOTU-V7_10103	Eukaryota	Obazoa	Opisthokonta	Metazoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10105	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10106	Eukaryota	Obazoa	Opisthokonta	Fungi	Opisthosporidia	Microsporida	Microsporida_X	Unassigned	Unassigned	parasites
ZOTU-V7_1011	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10110	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	heterotrophs
ZOTU-V7_10111	Eukaryota	Obazoa	Opisthokonta	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10118	Eukaryota	TSAR	Stramenopiles	Bigyra	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10119	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10122	Eukaryota	Obazoa	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10125	Eukaryota	Amoebozoa	Evosea	Evosea_X	Variosea	Variosea_X	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10126	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Glissomonadida_X	Glissomonadida_XX	Glissomonadida_XX_sp.	heterotrophs
ZOTU-V7_10127	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10128	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_1013	Eukaryota	TSAR	Alveolata	Perkinsea	Perkinsida	Perkinsida_X	Perkinsida_XX	Perkinsida_XXX	Perkinsida_XXX_sp.	parasites
ZOTU-V7_10130	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Crustacea	Branchiopoda	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10131	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10132	Eukaryota	TSAR	Stramenopiles	Gyrista	Eustigmatophyceae	Eustigmatophyceae_X	Eustigmatophyceae_XX	Nannochloropsis	Nannochloropsis_oculata	phototrophs
ZOTU-V7_10133	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10134	Eukaryota	Obazoa	Opisthokonta	Metazoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10136	Eukaryota	Obazoa	Opisthokonta	Fungi	Opisthosporidia	Microsporida	Microsporida_X	Unassigned	Unassigned	parasites
ZOTU-V7_10138	Eukaryota	Archaeplastida	Streptophyta	Streptophyta_X	Embryophyceae	Embryophyceae_X	Embryophyceae_XX	Embryophyceae_XXX	Embryophyceae_XXX_sp.	phototrophs
ZOTU-V7_1014	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.	parasites
ZOTU-V7_10142	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10144	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10145	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10146	Eukaryota	Obazoa	Opisthokonta	Fungi	Opisthosporidia	Microsporida	Microsporida_X	Orthosomella	Orthosomella_operophterae	parasites
ZOTU-V7_1015	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10150	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.	parasites
ZOTU-V7_10151	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_10153	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Thecofilosea	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10154	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10155	Eukaryota	Excavata	Discoba	Euglenozoa	Kinetoplastea	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10156	Eukaryota	Excavata	Discoba	Euglenozoa	Euglenida	Petalomonadida	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10159	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10164	Eukaryota	Obazoa	Opisthokonta	Metazoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10165	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Unassigned	Unassigned	parasites
ZOTU-V7_10167	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Chrysophyceae_Cluster-II	Chrysophyceae_Cluster-II_X	Chrysophyceae_Cluster-II_XX	Chrysophyceae_Cluster-II_XX_sp.	phototrophs
ZOTU-V7_10168	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_1017	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.	parasites
ZOTU-V7_10171	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Sandonidae_X	Sandonidae_X_sp.	heterotrophs
ZOTU-V7_10174	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10176	Eukaryota	Obazoa	Opisthokonta	Fungi	Fungi_X	Fungi_XX	Fungi_XXX	Fungi_XXXX	Fungi_XXXX_sp.	heterotrophs
ZOTU-V7_10177	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.	NA
ZOTU-V7_1018	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	Saccharomycetales	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10181	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10183	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Hexapoda	Insecta	Chironomus	Unassigned	heterotrophs
ZOTU-V7_10184	Eukaryota	TSAR	Stramenopiles	Gyrista	Peronosporomycetes	Peronosporomycetes_X	Peronosporales	Unassigned	Unassigned	parasites
ZOTU-V7_10185	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10186	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Unassigned	Unassigned	phototrophs
ZOTU-V7_10187	Eukaryota	TSAR	Rhizaria	Cercozoa	Cercozoa_X	Cercozoa_XX	Cercozoa_XXX	Cercozoa_XXXX	Cercozoa_XXXX_sp.	NA
ZOTU-V7_10190	Eukaryota	Obazoa	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Eumonhystera	Eumonhystera_filiformis	heterotrophs
ZOTU-V7_10191	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10193	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10194	Eukaryota	Obazoa	Opisthokonta	Metazoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_102	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Trebouxiophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_1020	Eukaryota	TSAR	Stramenopiles	Gyrista	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10200	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_10201	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10204	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Trebouxiophyceae	Chlorellales	Chlorellales_X	Unassigned	Unassigned	phototrophs
ZOTU-V7_10205	Eukaryota	TSAR	Alveolata	Ciliophora	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10208	Eukaryota	TSAR	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Monocystis	Monocystis_agilis	parasites
ZOTU-V7_1021	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_10213	Eukaryota	Obazoa	Opisthokonta	Metazoa	Craniata	Craniata_X	Mammalia	Homo	Homo_sapiens	heterotrophs
ZOTU-V7_10217	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Tetramitia_I	Tetramitia_I_X	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10218	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10219	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Unassigned	Unassigned	heterotrophs
ZOTU-V7_1022	Eukaryota	TSAR	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Sessilida	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10220	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Sandonidae	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10226	Eukaryota	TSAR	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_X	Dinophyceae_XX	Dinophyceae_XXX	Dinophyceae_XXX_sp.	NA
ZOTU-V7_10227	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10228	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Craterellus	Craterellus_tubaeformis	symbiotrophs
ZOTU-V7_1023	Eukaryota	TSAR	Rhizaria	Cercozoa	Endomyxa-Phytomyxea	Plasmodiophorida	Unassigned	Unassigned	Unassigned	parasites
ZOTU-V7_10231	Eukaryota	TSAR	Stramenopiles	Gyrista	Peronosporomycetes	Peronosporomycetes_X	Peronosporales	Pythium	Unassigned	parasites
ZOTU-V7_10234	Eukaryota	TSAR	Alveolata	Ciliophora	Colpodea	Colpodea_X	Platyophryida	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10235	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Thecofilosea	Cryomonadida	Cryomonadida_X	Cryomonadida_XX	Cryomonadida_XX_sp.	NA
ZOTU-V7_10238	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	heterotrophs
ZOTU-V7_10239	Eukaryota	TSAR	Stramenopiles	Gyrista	Chrysophyceae	Paraphysomonadales	Paraphysomonadaceae	Paraphysomonas	Paraphysomonas_sp.	heterotrophs
ZOTU-V7_1024	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.	parasites
ZOTU-V7_10240	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_10241	Eukaryota	Amoebozoa	Evosea	Evosea_X	Variosea	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10243	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida	Allapsidae	Allapsidae_X	Allapsidae_X_sp.	heterotrophs
ZOTU-V7_10247	Eukaryota	Excavata	Discoba	Euglenozoa	Euglenida	Aphagea	Rhabdomonadales	Rhabdomonas	Rhabdomonas_incurva	heterotrophs
ZOTU-V7_10248	Eukaryota	Excavata	Discoba	Euglenozoa	Kinetoplastea	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_10249	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Mychonastes	Mychonastes_sp.	phototrophs
ZOTU-V7_1025	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Rhabdonematales	Tabellariaceae	Unassigned	Unassigned	phototrophs
ZOTU-V7_10251	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Rhizophydiales	Rhizophydiales_X	Rhizophydiales_XX	Rhizophydiales_XX_sp.	saprotrophs/parasites
ZOTU-V7_10253	Eukaryota	Obazoa	Opisthokonta	Fungi	Ascomycota	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
