asv_code	domain	supergroup	division	subdivision	class	order	family	genus	species	trophic_mode
ZOTU-V7_2417	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Crustacea	Branchiopoda	Unassigned	Unassigned	heterotrophs
ZOTU-V7_24171	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	heterotrophs
ZOTU-V7_24173	Eukaryota	TSAR	Stramenopiles	Gyrista	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_24174	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_24175	Eukaryota	Haptista	Haptophyta	Haptophyta_X	Pavlovophyceae	Pavlovales	Pavlovaceae	Diacronema	Unassigned	mixotrophs
ZOTU-V7_24177	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_24178	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales_XX_sp.	phototrophs
ZOTU-V7_2418	Eukaryota	Obazoa	Opisthokonta	Fungi	Opisthosporidia	Microsporida	Microsporida_X	Unassigned	Unassigned	parasites
ZOTU-V7_24180	Eukaryota	Excavata	Discoba	Euglenozoa	Euglenida	Aphagea	Rhabdomonadales	Menoidium	Menoidium_gibbum	heterotrophs
ZOTU-V7_24181	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_24182	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	heterotrophs
ZOTU-V7_24183	Eukaryota	TSAR	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Cercomonadida	Cercomonadidae	Cercomonas	Cercomonas_sp.	heterotrophs
ZOTU-V7_24185	Eukaryota	Obazoa	Opisthokonta	Metazoa	Platyhelminthes	Turbellaria	Rhabdocoela	Castrada	Unassigned	heterotrophs
ZOTU-V7_2419	Eukaryota	Obazoa	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	Chromadorea_XX	Chromadorea_XX_sp.	heterotrophs
ZOTU-V7_24190	Eukaryota	Obazoa	Opisthokonta	Fungi	Opisthosporidia	Microsporida	Microsporida_X	Unassigned	Unassigned	parasites
ZOTU-V7_24193	Eukaryota	Obazoa	Opisthokonta	Fungi	Opisthosporidia	Microsporida	Microsporida_X	Helmichia	Helmichia_lacustris	parasites
ZOTU-V7_24198	Eukaryota	TSAR	Stramenopiles	Bigyra	Sagenista	Labyrinthulomycetes	Amphifilaceae	Amphifilaceae_X	Amphifilaceae_X_sp.	heterotrophs
ZOTU-V7_242	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Mamiellophyceae	Monomastigales	Monomastigaceae	Monomastigaceae-A	Monomastigaceae-A_sp.	phototrophs
ZOTU-V7_24200	Eukaryota	TSAR	Rhizaria	Cercozoa	Endomyxa-Phytomyxea	Plasmodiophorida	Unassigned	Unassigned	Unassigned	parasites
ZOTU-V7_24201	Eukaryota	TSAR	Rhizaria	Cercozoa	Endomyxa	Vampyrellida	Leptophryidae	Unassigned	Unassigned	heterotrophs
ZOTU-V7_24205	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_2421	Eukaryota	Obazoa	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Unassigned	Unassigned	heterotrophs
ZOTU-V7_24210	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Cymbellales	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_24211	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_24225	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_24226	Eukaryota	TSAR	Stramenopiles	Gyrista	Bacillariophyceae	Naviculales	Stauroneidaceae	Unassigned	Unassigned	phototrophs
ZOTU-V7_24231	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Trebouxiophyceae	Unassigned	Unassigned	Unassigned	Unassigned	phototrophs
ZOTU-V7_24232	Eukaryota	TSAR	Rhizaria	Cercozoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	NA
ZOTU-V7_24234	Eukaryota	Excavata	Discoba	Euglenozoa	Euglenida	Petalomonadida	Scytomonadidae	Petalomonas	Petalomonas_sphagnophila	NA
ZOTU-V7_24235	Eukaryota	Obazoa	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Eudiaptomus	Eudiaptomus_sp.	heterotrophs
ZOTU-V7_24236	Eukaryota	TSAR	Alveolata	Ciliophora	Heterotrichea	Heterotrichea_X	Stentoridae	Stentor	Stentor_coeruleus	heterotrophs
ZOTU-V7_24240	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_24244	Eukaryota	Obazoa	Opisthokonta	Fungi	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
ZOTU-V7_24245	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Unassigned	Unassigned	Unassigned	Unassigned	saprotrophs/parasites
ZOTU-V7_24247	Eukaryota	Obazoa	Opisthokonta	Fungi	Rozellomycota	Rozellomycota_X	Rozellomycota_XX	Rozellomycota_XXX	Rozellomycota_XXX_sp.	parasites
ZOTU-V7_24249	Eukaryota	Obazoa	Opisthokonta	Metazoa	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	heterotrophs
