"","Groups","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ZOTU-V9_10","Obazoa","Eukaryota","Opisthokonta-Metazoa","Arthropoda","Crustacea","Maxillopoda","Maxillopoda_X","Maxillopoda_X_sp."
"ZOTU-V9_27","Obazoa","Eukaryota","Opisthokonta-Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA
"ZOTU-V9_19","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X",NA,NA
"ZOTU-V9_18","TSAR","Eukaryota","Alveolata-Ciliophora","Colpodea","Colpodea_X",NA,NA,NA
"ZOTU-V9_41","Obazoa","Eukaryota","Opisthokonta-Metazoa","Nematoda","Enoplea","Enoplea_X","Tobrilus","Tobrilus_gracilis"
"ZOTU-V9_35","TSAR","Eukaryota","Stramenopiles-Gyrista","Coscinodiscophyceae","Aulacoseirales","Aulacoseiraceae","Aulacoseira",NA
"ZOTU-V9_36","TSAR","Eukaryota","Alveolata-Dinoflagellata","Dinophyceae","Suessiales","Borghiellaceae","Borghiella","Borghiella_tenuissima"
"ZOTU-V9_37","TSAR","Eukaryota","Alveolata-Dinoflagellata","Dinophyceae","Peridiniales","Thoracosphaeraceae","Apocalathium",NA
"ZOTU-V9_48","TSAR","Eukaryota","Alveolata-Dinoflagellata","Dinophyceae",NA,NA,NA,NA
"ZOTU-V9_51","Obazoa","Eukaryota","Opisthokonta-Metazoa","Rotifera","Rotifera_X","Rotifera_XX","Keratella","Keratella_quadrata"
"ZOTU-V9_60","Obazoa","Eukaryota","Opisthokonta-Metazoa","Arthropoda","Crustacea","Branchiopoda",NA,NA
"ZOTU-V9_61","TSAR","Eukaryota","Stramenopiles-Gyrista","Bacillariophyceae","Fragilariales","Staurosiraceae","Staurosira","Staurosira_construens"
"ZOTU-V9_76","Obazoa","Eukaryota","Opisthokonta-Fungi","Opisthosporidia","Microsporida","Microsporida_X",NA,NA
"ZOTU-V9_90","Obazoa","Eukaryota","Opisthokonta-Fungi","Opisthosporidia","Microsporida","Microsporida_X","Microsporidium","Microsporidium_sp."
"ZOTU-V9_71","TSAR","Eukaryota","Alveolata-Ciliophora","Litostomatea",NA,NA,NA,NA
"ZOTU-V9_68","TSAR","Eukaryota","Alveolata-Ciliophora",NA,NA,NA,NA,NA
"ZOTU-V9_75","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X",NA,NA
"ZOTU-V9_89","Obazoa","Eukaryota","Opisthokonta-Metazoa","Rotifera","Rotifera_X","Rotifera_XX",NA,NA
"ZOTU-V9_96","TSAR","Eukaryota","Alveolata-Ciliophora","Spirotrichea","Oligotrichida","Oligotrichida_X","Oligotrichida_XX","Oligotrichida_XX_sp."
"ZOTU-V9_95","TSAR","Eukaryota","Alveolata-Ciliophora","Spirotrichea","Oligotrichida",NA,NA,NA
"ZOTU-V9_98","Obazoa","Eukaryota","Opisthokonta-Metazoa","Arthropoda","Crustacea","Maxillopoda","Eudiaptomus","Eudiaptomus_sp."
"ZOTU-V9_97","TSAR","Eukaryota","Stramenopiles-Gyrista",NA,NA,NA,NA,NA
"ZOTU-V9_102","TSAR","Eukaryota","Alveolata-Ciliophora","Litostomatea","Litostomatea_X","Litostomatea_XX","Balantidion","Balantidion_pellucidum"
"ZOTU-V9_107","TSAR","Eukaryota","Stramenopiles-Gyrista","Coscinodiscophyceae","Aulacoseirales","Aulacoseiraceae","Aulacoseira",NA
"ZOTU-V9_104","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae",NA,NA,NA,NA
