"","Groups","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ZOTU-V7_2539","TSAR","Eukaryota","Alveolata-Ciliophora","Spirotrichea","Oligotrichida","Strombidiidae","Strombidiidae_X","Strombidiidae_X_sp."
"ZOTU-V7_2541","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae",NA,NA,NA,NA
"ZOTU-V7_2543","Amoebozoa","Eukaryota","Tubulinea-Tubulinea_X","Elardia","Euamoebida","Nolandellidae","Nolandellidae_X","Nolandellidae_X_sp."
"ZOTU-V7_2542","TSAR","Eukaryota","Alveolata-Ciliophora","CONTH_2","CONTH_2_X","CONTH_2_XX","CONTH_2_XXX","CONTH_2_XXX_sp."
"ZOTU-V7_2546","TSAR","Eukaryota","Alveolata-Apicomplexa","Gregarinomorphea","Neogregarinorida","Actinocephalidae","Ascogregarina","Ascogregarina_sp."
"ZOTU-V7_2553","Obazoa","Eukaryota","Opisthokonta-Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp."
"ZOTU-V7_2552","TSAR","Eukaryota","Rhizaria-Cercozoa","Filosa-Sarcomonadea","Pansomonadida","Pansomonadida_X","Pansomonadida_XX","Pansomonadida_XX_sp."
"ZOTU-V7_2544","Obazoa","Eukaryota","Breviatea-Breviatea_X","Breviatea_XX","Breviatea_XXX","Breviata-lineage","Breviata","Breviata_anathema"
"ZOTU-V7_2550","Obazoa","Eukaryota","Opisthokonta-Metazoa","Gastrotricha","Gastrotricha_X","Gastrotricha_XX",NA,NA
"ZOTU-V7_2559","TSAR","Eukaryota","Rhizaria-Cercozoa",NA,NA,NA,NA,NA
"ZOTU-V7_2567","Obazoa","Eukaryota","Opisthokonta-Fungi","Opisthosporidia","Microsporida","Microsporida_X","Jirovecia","Jirovecia_sinensis"
"ZOTU-V7_2557","TSAR","Eukaryota","Alveolata-Ciliophora","Litostomatea","Litostomatea_X","Litostomatea_XX","Arcuospathidium","Arcuospathidium_namibiense"
"ZOTU-V7_2556","Obazoa","Eukaryota","Opisthokonta-Fungi","Mucoromycota","Mucoromycotina",NA,NA,NA
"ZOTU-V7_2558","Obazoa","Eukaryota","Opisthokonta-Fungi","Rozellomycota","Rozellomycota_X","Rozellomycota_XX","Rozellomycota_XXX","Rozellomycota_XXX_sp."
"ZOTU-V7_2562","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Pucciniomycotina","Microbotryomycetes","Microbotryomycetes_X","Microbotryomycetes_X_sp."
"ZOTU-V7_2563","TSAR","Eukaryota","Alveolata-Perkinsea","Perkinsida","Perkinsida_X","Perkinsida_XX","Perkinsida_XXX","Perkinsida_XXX_sp."
"ZOTU-V7_2564","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Trebouxiophyceae","Chlorellales","Chlorellales_X","Chlorella","Chlorella_sp."
"ZOTU-V7_2566","Obazoa","Eukaryota","Opisthokonta-Fungi",NA,NA,NA,NA,NA
"ZOTU-V7_2576","Excavata","Eukaryota","Discoba-Euglenozoa","Euglenida","Petalomonadida",NA,NA,NA
"ZOTU-V7_2574","Amoebozoa","Eukaryota","Tubulinea-Tubulinea_X","Elardia","Euamoebida",NA,NA,NA
"ZOTU-V7_2569","Obazoa","Eukaryota","Opisthokonta-Metazoa","Gastrotricha","Gastrotricha_X","Gastrotricha_XX","Chaetonotus","Chaetonotus_daphnes"
"ZOTU-V7_2586","Obazoa","Eukaryota","Opisthokonta-Fungi","Opisthosporidia","Microsporida","Microsporida_X",NA,NA
"ZOTU-V7_2568","TSAR","Eukaryota","Rhizaria-Cercozoa",NA,NA,NA,NA,NA
"ZOTU-V7_2571","Obazoa","Eukaryota","Opisthokonta-Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Agaricomycetes_X","Agaricomycetes_X_sp."
"ZOTU-V7_2573","TSAR","Eukaryota","Stramenopiles-Gyrista","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_XX","Chrysophyceae_XXX","Chrysophyceae_XXX_sp."
"ZOTU-V7_2575","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota",NA,NA,NA,NA
"ZOTU-V7_2581","TSAR","Eukaryota","Stramenopiles-Gyrista","Bacillariophyceae","Cymbellales","Gomphonemataceae","Gomphonema",NA
"ZOTU-V7_2585","TSAR","Eukaryota","Stramenopiles-Gyrista","Bacillariophyceae",NA,NA,NA,NA
"ZOTU-V7_2582","TSAR","Eukaryota","Alveolata-Ciliophora","Armophorea","Armophorea_X","Caenomorphidae",NA,NA
"ZOTU-V7_2594","Excavata","Eukaryota","Discoba-Euglenozoa","Euglenida","Petalomonadida","Scytomonadidae","Petalomonas","Petalomonas_sphagnophila"
"ZOTU-V7_2583","TSAR","Eukaryota","Alveolata-Dinoflagellata","Dinophyceae",NA,NA,NA,NA
"ZOTU-V7_2587","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonas","Chlamydomonas_perpusilla_var._perpusilla"
"ZOTU-V7_2584","TSAR","Eukaryota","Alveolata-Ciliophora","Litostomatea","Litostomatea_X","Litostomatea_XX","Spathidium",NA
"ZOTU-V7_2601","Obazoa","Eukaryota","Opisthokonta-Fungi","Opisthosporidia","Microsporida","Microsporida_X",NA,NA
"ZOTU-V7_2591","Archaeplastida","Eukaryota","Chlorophyta-Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X",NA,NA
"ZOTU-V7_2602","Excavata","Eukaryota","Discoba-Euglenozoa","Euglenida","Petalomonadida","Scytomonadidae","Petalomonas","Petalomonas_sphagnophila"
"ZOTU-V7_2590","TSAR","Eukaryota","Rhizaria-Cercozoa",NA,NA,NA,NA,NA
"ZOTU-V7_2607","Obazoa","Eukaryota","Opisthokonta-Fungi","Opisthosporidia","Microsporida","Microsporida_X","Pseudonosematidae","Pseudonosematidae_sp."
"ZOTU-V7_2599","Amoebozoa","Eukaryota","Tubulinea-Tubulinea_X","Elardia","Euamoebida","Nolandellidae","Nolandellidae_X","Nolandellidae_X_sp."
"ZOTU-V7_2597","TSAR","Eukaryota","Rhizaria-Cercozoa","Filosa-Sarcomonadea","Cercomonadida","Paracercomonadidae","Paracercomonas",NA
"ZOTU-V7_2614","Obazoa","Eukaryota","Opisthokonta-Fungi","Opisthosporidia","Microsporida","Microsporida_X",NA,NA
"ZOTU-V7_2596","Archaeplastida","Eukaryota","Streptophyta-Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Parnassia",NA
"ZOTU-V7_2595","Archaeplastida","Eukaryota","Streptophyta-Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Arabidopsis","Arabidopsis_lyrata"
"ZOTU-V7_2593","Obazoa","Eukaryota","Opisthokonta-Fungi","Chytridiomycota",NA,NA,NA,NA
