"","term","Value","Std.Error","DF","t.value","p.value","taxa","fish","pval0.5"
"1","Air temperature",-0.0130242313146517,0.0183593821337141,251,-0.709404664045571,0.478731840897208,"Cercozoa","Fishless","No"
"2","Nitrogen deposition",0.0215184812856721,0.0146942878446518,251,1.46441130820124,0.14433293419646,"Cercozoa","Fishless","No"
"3","Air temperature",0.0349564794835042,0.0242992328275486,251,1.4385836677063,0.151514255445786,"Ciliophora","Fishless","No"
"4","Nitrogen deposition",-0.00374397383715584,0.0193146117281864,251,-0.193841527328874,0.84645674931108,"Ciliophora","Fishless","No"
"5","Air temperature",0.000182625601773702,0.00903594453210434,251,0.0202110140367552,0.983891098796021,"Eumycetozoa","Fishless","No"
"6","Nitrogen deposition",-0.00717012751869431,0.00810931654670133,251,-0.884183947858213,0.377443070387233,"Eumycetozoa","Fishless","No"
"7","Air temperature",0.00551037081135923,0.00199025136376759,251,2.76868083684062,0.00604821803256513,"Evosea","Fishless","Yes"
"8","Nitrogen deposition",0.000623738241970265,0.00136869575028478,251,0.455717234338229,0.648987328626533,"Evosea","Fishless","No"
"9","Air temperature",-0.00310119680455962,0.0084305569536292,251,-0.367851948764145,0.713293637294236,"Perkinsea","Fishless","No"
"10","Nitrogen deposition",-0.0141177057657863,0.00492150122913181,251,-2.86857710859025,0.0044740199692939,"Perkinsea","Fishless","Yes"
"11","Air temperature",-0.0281102214570656,0.0183337781897948,251,-1.5332476026525,0.126474307827606,"Rotifera","Fishless","No"
"12","Nitrogen deposition",0.00765806608994253,0.0167658262101836,251,0.456766400530325,0.648233990644345,"Rotifera","Fishless","No"
"13","Air temperature",0.00744014628535106,0.0100565589175784,322,0.739830228841599,0.459942055671875,"Cercozoa","Fish","No"
"14","Nitrogen deposition",-0.0167318035890136,0.00741891298001983,322,-2.25529044943305,0.0247862107178958,"Cercozoa","Fish","Yes"
"15","Fish",-0.0363588964506028,0.0153672380064281,322,-2.3660007371132,0.0185732338001424,"Cercozoa","Fish","Yes"
"16","Air temperature",0.0082623860086357,0.0172012667840384,322,0.480335902719831,0.63131471786841,"Ciliophora","Fish","No"
"17","Nitrogen deposition",0.0361665082562201,0.0129814966621817,322,2.78600451068034,0.00565251464372524,"Ciliophora","Fish","Yes"
"18","Fish",0.114245079454809,0.0273128311176937,322,4.18283549451597,3.71637300498808e-05,"Ciliophora","Fish","Yes"
"19","Air temperature",-0.00256101839749897,0.00718824722086749,322,-0.356278563996008,0.721865286262364,"Eumycetozoa","Fish","No"
"20","Nitrogen deposition",-0.0149867996463578,0.00625440610291563,322,-2.39619867973896,0.017136313562933,"Eumycetozoa","Fish","Yes"
"21","Fish",-0.0230504416429868,0.0138022764317242,322,-1.67004636930802,0.0958819351749299,"Eumycetozoa","Fish","No"
"22","Air temperature",0.00117656984763573,0.00693654522197915,322,0.16961899763987,0.865416292728517,"Evosea","Fish","No"
"23","Nitrogen deposition",-0.00189722258040243,0.00547473455740813,322,-0.346541473473851,0.729162165549111,"Evosea","Fish","No"
"24","Fish",-0.0108503176826019,0.0118293116852188,322,-0.917239985836188,0.359703380133371,"Evosea","Fish","No"
"25","Air temperature",-0.0200295129072754,0.0118473824078738,322,-1.69062770304128,0.0918756234970002,"Perkinsea","Fish","No"
"26","Nitrogen deposition",-0.00795297401071061,0.00962814653384819,322,-0.826012980042584,0.409408322753686,"Perkinsea","Fish","No"
"27","Fish",-0.0388613626439651,0.0209435468007868,322,-1.85552920016896,0.0644343242449582,"Perkinsea","Fish","No"
"28","Air temperature",-0.00952351515874125,0.0198532764661161,322,-0.479694884368088,0.631770022391383,"Rotifera","Fish","No"
"29","Nitrogen deposition",0.0222530999697348,0.015366511678684,322,1.44815560193818,0.148546529838797,"Rotifera","Fish","No"
"30","Fish",0.0577448544836706,0.0328887736132957,322,1.75576186459949,0.0800798479652446,"Rotifera","Fish","No"
