"","asv_code","domain","supergroup","division","subdivision","class","order","family","genus","species","trophic_mode"
"1","ZOTU-V7_1","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Eudiaptomus","Eudiaptomus_sp.","heterotrophs"
"2","ZOTU-V7_10","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Unassigned","Unassigned","Unassigned","Unassigned",NA
"3","ZOTU-V7_100","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Synurales","Synuraceae","Mallomonas","Mallomonas_heterospina","phototrophs"
"4","ZOTU-V7_1000","Eukaryota","TSAR","Stramenopiles","Bigyra","Bicoecea","Pseudodendromonadales","Pseudodendromonadales_X","Pseudodendromonadales_XX","Pseudodendromonadales_XX_sp.","heterotrophs"
"5","ZOTU-V7_10000","Eukaryota","Excavata","Discoba","Discoba_X","Heterolobosea","Tetramitia_V","Vahlkampfiidae_V","Tetramitus","Tetramitus_thorntoni","heterotrophs"
"6","ZOTU-V7_10001","Eukaryota","Obazoa","Breviatea","Breviatea_X","Breviatea_XX","Breviatea_XXX","Breviata-lineage","Breviata","Breviata_anathema","heterotrophs"
"7","ZOTU-V7_10003","Eukaryota","TSAR","Rhizaria","Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"8","ZOTU-V7_10004","Eukaryota","TSAR","Rhizaria","Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"9","ZOTU-V7_10008","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"10","ZOTU-V7_10009","Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeothamniophyceae","Phaeothamniales","Phaeothamniales_X","Stichogloea","Unassigned","phototrophs"
"11","ZOTU-V7_1001","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Unassigned","Unassigned","heterotrophs"
"12","ZOTU-V7_10011","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Unassigned","Unassigned","phototrophs"
"13","ZOTU-V7_10013","Eukaryota","Excavata","Discoba","Euglenozoa","Kinetoplastea","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"14","ZOTU-V7_10015","Eukaryota","TSAR","Stramenopiles","Bigyra","Bicoecea","Borokales","Borokaceae","Borokaceae_X","Borokaceae_X_sp.","heterotrophs"
"15","ZOTU-V7_10016","Eukaryota","Archaeplastida","Streptophyta","Streptophyta_X","Embryophyceae","Embryophyceae_X","Embryophyceae_XX","Unassigned","Unassigned","phototrophs"
"16","ZOTU-V7_10017","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"17","ZOTU-V7_10018","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"18","ZOTU-V7_10019","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","saprotrophs/parasites"
"19","ZOTU-V7_1002","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","saprotrophs/parasites"
"20","ZOTU-V7_10021","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Imbricatea","Euglyphida","Paulinellidae","Paulinella","Paulinella_chromatophora","heterotrophs"
"21","ZOTU-V7_10022","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Unassigned","Unassigned","phototrophs"
"22","ZOTU-V7_10023","Eukaryota","Obazoa","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Unassigned","Unassigned","Unassigned","heterotrophs"
"23","ZOTU-V7_10024","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula_cryptocephala","phototrophs"
"24","ZOTU-V7_10025","Eukaryota","Amoebozoa","Tubulinea","Tubulinea_X","Elardia","Euamoebida","Nolandellidae","Unassigned","Unassigned","heterotrophs"
"25","ZOTU-V7_10026","Eukaryota","Obazoa","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX","Unassigned","Unassigned","heterotrophs"
"26","ZOTU-V7_10028","Eukaryota","TSAR","Rhizaria","Cercozoa","Novel-clade-10-12","Novel-clade-10","Novel-clade-10_X","Novel-clade-10_XX","Novel-clade-10_XX_sp.","heterotrophs"
"27","ZOTU-V7_1003","Eukaryota","TSAR","Alveolata","Apicomplexa","Gregarinomorphea","Neogregarinorida","Actinocephalidae","Monocystis","Monocystis_sp.","parasites"
"28","ZOTU-V7_10031","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Branchiopoda","Ceriodaphnia","Ceriodaphnia_dubia","heterotrophs"
"29","ZOTU-V7_10032","Eukaryota","TSAR","Alveolata","Ciliophora","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"30","ZOTU-V7_10033","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Chrysophyceae_Clade-EC2H","Chrysophyceae_Clade-EC2H_X","Chrysophyceae_Clade-EC2H_XX","Chrysophyceae_Clade-EC2H_XX_sp.","phototrophs"
"31","ZOTU-V7_10034","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","saprotrophs/parasites"
"32","ZOTU-V7_10037","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"33","ZOTU-V7_10038","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Chromulinales","Chromulinales_X","Chromulinales_XX","Chromulinales_XX_sp.","phototrophs"
"34","ZOTU-V7_10039","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"35","ZOTU-V7_10041","Eukaryota","TSAR","Rhizaria","Cercozoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"36","ZOTU-V7_10042","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Ochromonadales","Unassigned","Unassigned","Unassigned","phototrophs"
"37","ZOTU-V7_10044","Eukaryota","TSAR","Stramenopiles","Gyrista","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"38","ZOTU-V7_10048","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Chlamydomonadales","Chlamydomonadales_X","Chlamydomonadales_XX","Chlamydomonadales_XX_sp.","phototrophs"
"39","ZOTU-V7_10049","Eukaryota","Excavata","Discoba","Euglenozoa","Kinetoplastea","Kinetoplastea_X","Kinetoplastea_XX","Kinetoplastea_XX_MET8","Kinetoplastea_XX_MET8_sp.","heterotrophs"
"40","ZOTU-V7_1005","Eukaryota","Obazoa","Opisthokonta","Fungi","Opisthosporidia","Microsporida","Microsporida_X","Unassigned","Unassigned","parasites"
