"","asv_code","domain","supergroup","division","subdivision","class","order","family","genus","species","trophic_mode"
"4854","ZOTU-V9_32026","Eukaryota","Obazoa","Opisthokonta","Metazoa","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4855","ZOTU-V9_3203","Eukaryota","TSAR","Stramenopiles","Gyrista","Peronosporomycetes","Peronosporomycetes_X","Unassigned","Unassigned","Unassigned","parasites"
"4856","ZOTU-V9_32037","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Imbricatea","Euglyphida","Trinematidae","Trinematidae_X","Trinematidae_X_sp.","heterotrophs"
"4857","ZOTU-V9_3204","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4858","ZOTU-V9_32040","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"4859","ZOTU-V9_3206","Eukaryota","TSAR","Stramenopiles","Gyrista","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"4860","ZOTU-V9_32068","Eukaryota","Amoebozoa","Evosea","Evosea_X","Archamoebea","Mastigamoebida","Mastigamoebidae","Mastigamoeba","Mastigamoeba_sp.","heterotrophs"
"4861","ZOTU-V9_3207","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Chlorophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"4862","ZOTU-V9_32071","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4863","ZOTU-V9_32090","Eukaryota","Obazoa","Opisthokonta","Fungi","Opisthosporidia","Microsporida","Microsporida_X","Jirovecia","Jirovecia_sinensis","parasites"
"4864","ZOTU-V9_32091","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","Peridinium_willei","phototrophs"
"4865","ZOTU-V9_321","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"4866","ZOTU-V9_32103","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4867","ZOTU-V9_32112","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Unassigned","Unassigned","Unassigned","phototrophs"
"4868","ZOTU-V9_32113","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Unassigned","Unassigned","heterotrophs"
"4869","ZOTU-V9_32121","Eukaryota","TSAR","Alveolata","Dinoflagellata","Dinophyceae","Peridiniales","Peridiniaceae","Peridinium","Unassigned","phototrophs"
"4870","ZOTU-V9_32126","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","saprotrophs/parasites"
"4871","ZOTU-V9_32134","Eukaryota","TSAR","Alveolata","Chrompodellids","Colpodellidea","Colpodellida","Alphamonaceae","Alphamonas","Alphamonas_sp.","heterotrophs"
"4872","ZOTU-V9_32141","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Trebouxiophyceae","Chlorellales","Chlorellales_X","Unassigned","Unassigned","phototrophs"
"4873","ZOTU-V9_32149","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Ulvophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"4874","ZOTU-V9_32155","Eukaryota","Obazoa","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Chalciporus","Chalciporus_piperatus","pathotrophs"
"4875","ZOTU-V9_32159","Eukaryota","Amoebozoa","Evosea","Evosea_X","Archamoebea","Mastigamoebida","Mastigamoebidae","Mastigamoeba","Mastigamoeba_sp.","heterotrophs"
"4876","ZOTU-V9_32167","Eukaryota","TSAR","Alveolata","Apicomplexa","Coccidiomorphea","Eimeriida","Eimeriidae","Unassigned","Unassigned","parasites"
"4877","ZOTU-V9_3217","Eukaryota","TSAR","Stramenopiles","Gyrista","Chrysophyceae","Unassigned","Unassigned","Unassigned","Unassigned","phototrophs"
"4878","ZOTU-V9_32174","Eukaryota","TSAR","Stramenopiles","Gyrista","Peronosporomycetes","Peronosporomycetes_X","Peronosporales","Unassigned","Unassigned","parasites"
"4879","ZOTU-V9_32177","Eukaryota","Excavata","Discoba","Euglenozoa","Euglenida","Aphagea","Unassigned","Unassigned","Unassigned","heterotrophs"
"4880","ZOTU-V9_32178","Eukaryota","TSAR","Alveolata","Dinoflagellata","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"4881","ZOTU-V9_32181","Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Hexapoda","Insecta","Chironomus","Chironomus_tepperi","heterotrophs"
"4882","ZOTU-V9_32182","Eukaryota","TSAR","Alveolata","Apicomplexa","Gregarinomorphea","Neogregarinorida","Actinocephalidae","Paraschneideria","Paraschneideria_metamorphosa","parasites"
"4883","ZOTU-V9_32186","Eukaryota","Obazoa","Opisthokonta","Metazoa","Annelida","Annelida_X","Annelida_XX","Unassigned","Unassigned","heterotrophs"
"4884","ZOTU-V9_32187","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","saprotrophs/parasites"
"4885","ZOTU-V9_32188","Eukaryota","Obazoa","Opisthokonta","Fungi","Opisthosporidia","Microsporida","Microsporida_X","Jirovecia","Jirovecia_sinensis","parasites"
"4886","ZOTU-V9_32189","Eukaryota","TSAR","Stramenopiles","Bigyra","Sagenista","Labyrinthulomycetes","Amphifilaceae","Unassigned","Unassigned","heterotrophs"
"4887","ZOTU-V9_32194","Eukaryota","TSAR","Alveolata","Dinoflagellata","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned",NA
"4888","ZOTU-V9_322","Eukaryota","Obazoa","Opisthokonta","Metazoa","Rotifera","Rotifera_X","Rotifera_XX","Unassigned","Unassigned","heterotrophs"
"4889","ZOTU-V9_3220","Eukaryota","TSAR","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Glissomonadida","Allapsidae","Allapsidae_X","Allapsidae_X_sp.","heterotrophs"
"4890","ZOTU-V9_32205","Eukaryota","Obazoa","Opisthokonta","Fungi","Chytridiomycota","Unassigned","Unassigned","Unassigned","Unassigned","saprotrophs/parasites"
"4891","ZOTU-V9_32208","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
"4892","ZOTU-V9_3221","Eukaryota","Obazoa","Opisthokonta","Fungi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","heterotrophs"
