"","sample_id","MDS1","MDS2","d15N_anomaly_mean_1800_1850","mean_air_temp_degC_anomaly_combined","fish_present_binary_YN"
"1","BLRO20_0.5",-1.18124376912505,-1.08916930165446,-2.89605142168382,0.613333333333333,"Yes"
"2","BLRO20_1",-0.991488769985724,-1.02178919266359,-2.95418421968382,0.313333333333333,"Yes"
"3","BLRO20_1.5",-0.301932009957834,-1.41155561569286,-3.97928270031618,0.363333333333333,"Yes"
"4","BLRO20_10",0.232784232345172,-0.130900928585566,-0.374983661683824,-0.632820512820513,"No"
"5","BLRO20_10.5",0.695679474054877,-0.0661808271991858,-0.397580288316177,-0.632820512820513,"No"
"6","BLRO20_11",0.368660327133771,-0.0408967150812167,0.182863642316176,-0.632820512820513,"No"
"7","BLRO20_11.5",0.631833720484602,-0.256685880472708,0.243474959683823,-0.632820512820513,"No"
"8","BLRO20_12",0.410167087529674,-0.125886903930993,0.0449022663161767,-0.632820512820513,"No"
"9","BLRO20_12.5",0.720465446002656,-0.0565218016922353,-0.483884660316177,-0.632820512820513,"No"
"10","BLRO20_13",0.376026928329649,-0.20578422930614,0.195507434316176,-0.632820512820513,"No"
"11","BLRO20_13.5",-0.155750936524339,-0.0176719683944768,-0.179509435316176,-0.632820512820513,"No"
"12","BLRO20_14",0.161606503045114,-0.0501086555725687,0.125286374316176,-0.632820512820513,"No"
"13","BLRO20_14.5",0.153752191663414,-0.424659748473198,-0.155895768316176,-0.632820512820513,"No"
"14","BLRO20_15",0.457055481149049,-0.226757986569716,0.160656982316176,-0.632820512820513,"No"
"15","BLRO20_15.5",0.594796976341103,-0.0333723875061232,-0.324136841316177,-0.632820512820513,"No"
"16","BLRO20_16",-0.0642233092292992,-0.103278886105831,0.0559055663161763,-0.632820512820513,"No"
"17","BLRO20_16.5",0.0905330661233949,-0.495594436586026,-0.0678564323161766,-0.632820512820513,"No"
"18","BLRO20_2",-0.413902145074188,-0.647153008803022,-3.06610787568382,1.18833333333333,"Yes"
