"","sample_id","MDS1","MDS2","d15N_anomaly_mean_1800_1850","mean_air_temp_degC_anomaly_combined","fish_present_binary_YN"
"1","BLRO20_0.5",-0.368723281110466,-1.02244024574488,-2.89605142168382,0.613333333333333,"Yes"
"2","BLRO20_1",-0.383787074340498,-0.804388746905948,-2.95418421968382,0.313333333333333,"Yes"
"3","BLRO20_1.5",-0.306955995552142,-0.579356443831639,-3.97928270031618,0.363333333333333,"Yes"
"4","BLRO20_10",0.134751562925512,0.15040988039946,-0.374983661683824,-0.632820512820513,"No"
"5","BLRO20_10.5",0.333889239597636,0.348435398256119,-0.397580288316177,-0.632820512820513,"No"
"6","BLRO20_11",0.180305847204584,0.209411635401998,0.182863642316176,-0.632820512820513,"No"
"7","BLRO20_11.5",0.406063940905497,0.358147442100735,0.243474959683823,-0.632820512820513,"No"
"8","BLRO20_12",0.248627538492254,0.215990915528917,0.0449022663161767,-0.632820512820513,"No"
"9","BLRO20_12.5",0.404276255845639,0.207955794277398,-0.483884660316177,-0.632820512820513,"No"
"10","BLRO20_13",0.220046227883765,0.261266591519207,0.195507434316176,-0.632820512820513,"No"
"11","BLRO20_13.5",0.342307429211313,0.2305285822342,-0.179509435316176,-0.632820512820513,"No"
"12","BLRO20_14",0.280076282300238,0.17230434411977,0.125286374316176,-0.632820512820513,"No"
"13","BLRO20_14.5",0.323659265260746,0.31277369941106,-0.155895768316176,-0.632820512820513,"No"
"14","BLRO20_15",0.364278509937173,0.373686814433005,0.160656982316176,-0.632820512820513,"No"
"15","BLRO20_15.5",0.267296173502917,0.351893639863343,-0.324136841316177,-0.632820512820513,"No"
"16","BLRO20_16",0.219453396961986,0.235534830096366,0.0559055663161763,-0.632820512820513,"No"
"17","BLRO20_16.5",0.392714709112485,0.314599097040105,-0.0678564323161766,-0.632820512820513,"No"
"18","BLRO20_2",-0.204236754806878,-0.485766319061575,-3.06610787568382,1.18833333333333,"Yes"
"19","BLRO20_2.5",-0.0770840736217585,-0.610130592118051,-3.21904370031618,1.01333333333333,"Yes"
"20","BLRO20_3",-0.180801426081034,-0.436237409935762,-2.67608959168382,0.413333333333333,"Yes"
"21","BLRO20_3.5",-0.0366282135751176,-0.388229425270122,-2.78447870031618,0.463333333333333,"Yes"
"22","BLRO20_4",-0.0167100640690017,-0.328667619544637,-2.40213598468382,0.393333333333333,"Yes"
"23","BLRO20_4.5",0.123832352459712,-0.413436379200298,-2.22636242031618,-0.243809523809524,"Yes"
"24","BLRO20_5",-0.0523477527540444,-0.277088739145896,-1.84354409768382,-0.386666666666667,"Yes"
"25","BLRO20_5.5",0.0818700168366438,-0.253789747383366,-1.76470964031618,-0.00888888888888895,"Yes"
